2025-12-30 14:00:26 - [core.risk_manager] - INFO - Position registered: pos_BTC/USDT:USDT_1767103226 - BTC/USDT:USDT
2025-12-30 14:00:26 - [core.portfolio_manager] - INFO - Position registered: pos_BTC/USDT:USDT_1767103226 - BTC/USDT:USDT
2025-12-30 14:00:26 - [core.position_manager] - INFO - Position opened: pos_BTC/USDT:USDT_1767103226 - BTC/USDT:USDT sell 0.00034082504655102096 @ 88109.9219
2025-12-30 14:00:26 - [core.live_trading_engine] - INFO -   ✓ Position opened: pos_BTC/USDT:USDT_1767103226
2025-12-30 14:00:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88068.00 | P&L: $0.01 (+0.05%)
2025-12-30 14:00:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88068.00 | P&L: $0.01 (+0.05%)
2025-12-30 14:00:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $88068.00 | P&L: $0.01 (+0.05%)
2025-12-30 14:01:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87988.20 | P&L: $0.04 (+0.14%)
2025-12-30 14:01:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87988.20 | P&L: $0.04 (+0.14%)
2025-12-30 14:01:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87988.20 | P&L: $0.04 (+0.14%)
2025-12-30 14:01:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87988.20 | P&L: $0.04 (+0.14%)
2025-12-30 14:01:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87988.20 | P&L: $0.04 (+0.14%)
2025-12-30 14:01:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87988.20 | P&L: $0.04 (+0.14%)
2025-12-30 14:02:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87980.20 | P&L: $0.04 (+0.15%)
2025-12-30 14:02:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87980.20 | P&L: $0.04 (+0.15%)
2025-12-30 14:02:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87980.20 | P&L: $0.04 (+0.15%)
2025-12-30 14:02:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87980.20 | P&L: $0.04 (+0.15%)
2025-12-30 14:02:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87980.20 | P&L: $0.04 (+0.15%)
2025-12-30 14:02:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87980.20 | P&L: $0.04 (+0.15%)
2025-12-30 14:03:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87913.40 | P&L: $0.07 (+0.22%)
2025-12-30 14:03:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87913.40 | P&L: $0.07 (+0.22%)
2025-12-30 14:03:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87913.40 | P&L: $0.07 (+0.22%)
2025-12-30 14:03:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87913.40 | P&L: $0.07 (+0.22%)
2025-12-30 14:03:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87913.40 | P&L: $0.07 (+0.22%)
2025-12-30 14:03:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87913.40 | P&L: $0.07 (+0.22%)
2025-12-30 14:04:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87820.20 | P&L: $0.10 (+0.33%)
2025-12-30 14:04:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87820.20 | P&L: $0.10 (+0.33%)
2025-12-30 14:04:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87820.20 | P&L: $0.10 (+0.33%)
2025-12-30 14:04:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87820.20 | P&L: $0.10 (+0.33%)
2025-12-30 14:04:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87820.20 | P&L: $0.10 (+0.33%)
2025-12-30 14:04:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87820.20 | P&L: $0.10 (+0.33%)
2025-12-30 14:05:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87826.00 | P&L: $0.10 (+0.32%)
2025-12-30 14:05:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87826.00 | P&L: $0.10 (+0.32%)
2025-12-30 14:05:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87826.00 | P&L: $0.10 (+0.32%)
2025-12-30 14:05:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87826.00 | P&L: $0.10 (+0.32%)
2025-12-30 14:05:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87826.00 | P&L: $0.10 (+0.32%)
2025-12-30 14:05:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87826.00 | P&L: $0.10 (+0.32%)
2025-12-30 14:06:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87892.00 | P&L: $0.07 (+0.25%)
2025-12-30 14:06:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87892.00 | P&L: $0.07 (+0.25%)
2025-12-30 14:06:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87892.00 | P&L: $0.07 (+0.25%)
2025-12-30 14:06:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87892.00 | P&L: $0.07 (+0.25%)
2025-12-30 14:06:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87892.00 | P&L: $0.07 (+0.25%)
2025-12-30 14:06:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87892.00 | P&L: $0.07 (+0.25%)
2025-12-30 14:07:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87923.70 | P&L: $0.06 (+0.21%)
2025-12-30 14:07:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87923.70 | P&L: $0.06 (+0.21%)
2025-12-30 14:07:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87923.70 | P&L: $0.06 (+0.21%)
2025-12-30 14:07:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87923.70 | P&L: $0.06 (+0.21%)
2025-12-30 14:07:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87923.70 | P&L: $0.06 (+0.21%)
2025-12-30 14:07:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87923.70 | P&L: $0.06 (+0.21%)
2025-12-30 14:08:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87945.50 | P&L: $0.06 (+0.19%)
2025-12-30 14:08:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87945.50 | P&L: $0.06 (+0.19%)
2025-12-30 14:08:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87945.50 | P&L: $0.06 (+0.19%)
2025-12-30 14:08:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87945.50 | P&L: $0.06 (+0.19%)
2025-12-30 14:08:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87945.50 | P&L: $0.06 (+0.19%)
2025-12-30 14:08:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87945.50 | P&L: $0.06 (+0.19%)
2025-12-30 14:09:04 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87976.20 | P&L: $0.05 (+0.15%)
2025-12-30 14:09:14 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87976.20 | P&L: $0.05 (+0.15%)
2025-12-30 14:09:24 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87976.20 | P&L: $0.05 (+0.15%)
2025-12-30 14:09:34 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87976.20 | P&L: $0.05 (+0.15%)
2025-12-30 14:09:44 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87976.20 | P&L: $0.05 (+0.15%)
2025-12-30 14:09:54 - [core.live_trading_engine] - INFO - 💰 [P&L-UPDATE] pos_BTC/USDT:USDT_1767103226 | BTC/USDT:USDT | Entry: $88109.92, Current: $87976.20 | P&L: $0.05 (+0.15%)
